PLAYER_NAME,PLAYER_TYPE,IPL_TEAM
Sai Sudharsan,All-Rounder,GT
Dasun shanaka,All-Rounder,GT
Shahrukh Khan,All-Rounder,GT
Shubman Gill,Batter,GT
Kumar Kushagra,WK-Batter,GT
Anuj Rawat,WK-Batter,GT
Sherfane Rutherford,Batter,GT
Kusal Mendis,Batter,GT
Kagiso Rabada,Bowler,GT
Mohammed Siraj,Bowler,GT
Prasidh Krishna,Bowler,GT
Manav Suthar,Bowler,GT
Gerald Coetzee,Bowler,GT
Gurnoor Singh Brar,Bowler,GT
Ishant Sharma,Bowler,GT
Kulwant Khejroliya,Bowler,GT
Rahul Tewatia,Bowler,GT
Rashid Khan,Bowler,GT
Anrich Nortje,Bowler,KKR
Vaibhav Arora,Bowler,KKR
Mayank Markande,Bowler,KKR
Spencer Johnson,Bowler,KKR
Shivam Shukla,Bowler,KKR
Harshit Rana,Bowler,KKR
Sunil Narine,Bowler,KKR
Varun Chakaravarthy,Bowler,KKR
Chetan Sakariya,Bowler,KKR
Ajinkya Rahane,Batter,KKR
Rinku Singh,Batter,KKR
Quinton de Kock,WK-Batter,KKR
Rahmanullah Gurbaz,WK-Batter,KKR
Angkrish Raghuvanshi,Batter,KKR
Manish Pandey,Batter,KKR
Luvnith Sisodia,WK-Batter,KKR
Venkatesh Iyer,All-Rounder,KKR
Anukul Roy,All-Rounder,KKR
Moeen Ali,All-Rounder,KKR
Ramandeep Singh,All-Rounder,KKR
Andre Russell,All-Rounder,KKR
Trent Boult,Bowler,MI
Karn Sharma,Bowler,MI
Deepak Chahar,Bowler,MI
Ashwani Kumar,Bowler,MI
Reece Topley,Bowler,MI
V.Satyanarayana Penmetsa,Bowler,MI
Arjun Tendulkar,Bowler,MI
Mujeeb-ur-Rahman,Bowler,MI
Raghu Sharma,Bowler,MI
Charith Asalanka,Bowler,MI
Richard Gleeson,Bowler,MI
Jasprit Bumrah,Bowler,MI
Rohit Sharma,Batter,MI
Surya Kumar Yadav,Batter,MI
Robin Minz,WK-Batter,MI
Shrijith Krishnan,WK-Batter,MI
Bevon Jacobs,Batter,MI
Jonny Bairstow,WK-Batter,MI
N. Tilak Varma,Batter,MI
Hardik Pandya,All-Rounder,MI
Naman Dhir,All-Rounder,MI
Mitchell Santner,All-Rounder,MI
Raj Angad Bawa,All-Rounder,MI
Marcus Stoinis,All-Rounder,PK
Harpreet Brar,All-Rounder,PK
Marco Jansen,All-Rounder,PK
Azmatullah Omarzai,All-Rounder,PK
Priyansh Arya,All-Rounder,PK
Aaron Hardie,All-Rounder,PK
Musheer Khan,All-Rounder,PK
Suryansh Shedge,All-Rounder,PK
Mitch Owen,Batter,PK
Shreyas Iyer,Batter,PK
Nehal Wadhera,Batter,PK
Vishnu Vinod,WK-Batter,PK
Josh Inglis,WK-Batter,PK
Harnoor Pannu,Batter,PK
Pyla Avinash,Batter,PK
Prabhsimran Singh,WK-Batter,PK
Shashank Singh,Batter,PK
Aaron Hardie,All-Rounder,PK
Musheer Khan,All-Rounder,PK
Suryansh Shedge,All-Rounder,PK
Mitch Owen,Batter,PK
Arshdeep Singh,Bowler,PK
Yuzvendra Chahal,Bowler,PK
Vyshak Vijaykumar,Bowler,PK
Yash Thakur,Bowler,PK
Kuldeep Sen,Bowler,PK
Xavier Bartlett,Bowler,PK
Pravin Dubey,Bowler,PK
Kyle Jamieson,Bowler,PK
Jofra Archer,Bowler,RR
Maheesh Theekshana,Bowler,RR
Wanindu Hasaranga,Bowler,RR
Akash Madhwal,Bowler,RR
Kumar Kartikeya Singh,Bowler,RR
Tushar Deshpande,Bowler,RR
Fazalhaq Farooqi,Bowler,RR
Kwena Maphaka,Bowler,RR
Ashok Sharma,Bowler,RR
Nandre Burger,Bowler,RR
Sanju Samson,WK-Batter,RR
Shubham Dubey,Batter,RR
Vaibhav Suryavanshi,Batter,RR
Kunal Rathore,WK-Batter,RR
Lhuan-dre Pretorius,Batter,RR
Shimron Hetmyer,Batter,RR
Yashasvi Jaiswal,Batter,RR
Dhruv Jurel,WK-Batter,RR
Riyan Parag,Batter,RR
Yudhvir Singh Charak,All-Rounder,RR
Blessing Muzarabani,Bowler,RCB
Josh Hazlewood,Bowler,RCB
Rasikh Dar,Bowler,RCB
Suyash Sharma,Bowler,RCB
Bhuvneshwar Kumar,Bowler,RCB
Nuwan Thushara,Bowler,RCB
Lungisani Ngidi,Bowler,RCB
Abhinandan Singh,Bowler,RCB
Mohit Rathee,Bowler,RCB
Yash Dayal,Bowler,RCB
Rajat Patidar,Batter,RCB
Virat Kohli,Batter,RCB
Phil Salt,WK-Batter,RCB
Jitesh Sharma,WK-Batter,RCB
Swastik Chhikara,Batter,RCB
Tim Seifert,WK-Batter,RCB
Mayank Agarwal,Batter,RCB
Liam Livingstone,All-Rounder,RCB
Krunal Pandya,All-Rounder,RCB
Swapnil Singh,All-Rounder,RCB
Tim David,All-Rounder,RCB
Romario Shepherd,All-Rounder,RCB
Manoj Bhandage,All-Rounder,RCB
