PLAYER_NAME,PLAYER_TYPE,IPL_TEAM
Jasprit Bumrah,Bowler,MI
Karn Sharma,Bowler,MI
Lizaad Williams,Bowler,MI
Mujeeb-ur-Rahman,Bowler,MI
Raghu Sharma,Bowler,MI
Reece Topley,Bowler,MI
Richard Gleeson,Bowler,MI
Trent Boult,Bowler,MI
V Satyanarayana Penmetsa,Bowler,MI
Vignesh Puthur,Bowler,MI
Jonny Bairstow,WK-Batter,MI
Robin Minz,WK-Batter,MI
Ryan Rickelton,WK-Batter,MI
Shrijith Krishnan,WK-Batter,MI
Aaron Hardie,All-Rounder,PK
Azmatullah Omarzai,All-Rounder,PK
Glenn Maxwell,All-Rounder,PK
Harpreet Brar,All-Rounder,PK
Marco Jansen,All-Rounder,PK
Marcus Stoinis,All-Rounder,PK
Musheer Khan,All-Rounder,PK
Priyansh Arya,All-Rounder,PK
Suryansh Shedge,All-Rounder,PK
Harnoor Pannu,Batter,PK
Mitch Owen,Batter,PK
Nehal Wadhera,Batter,PK
Pyla Avinash,Batter,PK
Shashank Singh,Batter,PK
Shreyas Iyer,Batter,PK
Arshdeep Singh,Bowler,PK
Kuldeep Sen,Bowler,PK
Kyle Jamieson,Bowler,PK
Lockie Ferguson,Bowler,PK
Praveen Dubey,Bowler,PK
Vijaykumar Vyshak,Bowler,PK
Xavier Bartlett,Bowler,PK
Yash Thakur,Bowler,PK
Yuzvendra Chahal,Bowler,PK
Josh Inglis,WK-Batter,PK
Prabhsimran Singh,WK-Batter,PK
Vishnu Vinod,WK-Batter,PK
Jacob Bethell,All-Rounder,RCB
Krunal Pandya,All-Rounder,RCB
Liam Livingstone,All-Rounder,RCB
Manoj Bhandage,All-Rounder,RCB
Romario Shepherd,All-Rounder,RCB
Swapnil Singh,All-Rounder,RCB
Tim David,All-Rounder,RCB
Mayank Agarwal,Batter,RCB
Rajat Patidar,Batter,RCB
Swastik Chhikara,Batter,RCB
Virat Kohli,Batter,RCB
Devdutt Padikkal,Batter ,RCB
Abhinandan Singh,Bowler,RCB
Bhuvneshwar Kumar,Bowler,RCB
Blessing Muzarabani,Bowler,RCB
Josh Hazlewood,Bowler,RCB
Lungisani Ngidi,Bowler,RCB
Mohit Rathee,Bowler,RCB
Nuwan Thushara,Bowler,RCB
Rasikh Salam,Bowler,RCB
Suyash Sharma,Bowler,RCB
Yash Dayal,Bowler,RCB
Jitesh Sharma,WK-Batter,RCB
Phil Salt,WK-Batter,RCB
Tim Seifert,WK-Batter,RCB
Nitish Rana,All-Rounder,RR
Yudhvir Singh,All-Rounder,RR
Lhuan-dre Pretorius,Batter,RR
Riyan Parag,Batter,RR
Shimron Hetmyer,Batter,RR
Shubham Dubey,Batter,RR
Vaibhav Suryavanshi,Batter,RR
Yashasvi Jaiswal,Batter,RR
Akash Madhwal,Bowler,RR
Ashok Sharma,Bowler,RR
Fazalhaq Farooqi,Bowler,RR
Jofra Archer,Bowler,RR
Kumar Kartikeya,Bowler,RR
Kwena Maphaka,Bowler,RR
Maheesh Theekshana,Bowler,RR
Nandre Burger,Bowler,RR
Sandeep Sharma,Bowler,RR
Tushar Deshpande,Bowler,RR
Wanindu Hasaranga,Bowler,RR
Dhruv Jurel,WK-Batter,RR
Kunal Rathore,WK-Batter,RR
Sanju Samson,WK-Batter,RR
Abhishek Sharma,All-Rounder,SRH
Brydon Carse,All-Rounder,SRH
Harsh Dubey,All-Rounder,SRH
Harshal Patel,All-Rounder,SRH
Kamindu Mendis,All-Rounder,SRH
Nitish Kumar Reddy,All-Rounder,SRH
Wiaan Mulder,All-Rounder,SRH
Abhinav Manohar,Batter,SRH
Aniket Verma,Batter,SRH
Atharva Taide,Batter,SRH
Sachin Baby,Batter,SRH
Smaran Ravichandran,Batter,SRH
Travis Head,Batter,SRH
Adam Zampa,Bowler,SRH
Eshan Malinga,Bowler,SRH
Jaydev Unadkat,Bowler,SRH
Mohammed Shami,Bowler,SRH
Pat Cummins,Bowler,SRH
Rahul Chahar,Bowler,SRH
Simarjeet Singh,Bowler,SRH
Zeeshan Ansari,Bowler,SRH
Heinrich Klaasen,WK-Batter,SRH
Ishan Kishan,WK-Batter,SRH
